Num_packet	Acc_X	Acc_Y	Acc_Z	Rot_X	Rot_Y	Rot_Z	Temp	Pre	    Alt	Temps_s	Temps_ms
[Id]        [m/s^2] [m/s^2] [m/s^2] [°/s]   [°/s]   [°/s]   [°C]    [Pa]    [m] [s]     [ms]
--------------------------------------------------------------------------------------------------------
660	-0.42	0.51	0.76	49.35	0.56	26.84	27.31	-1021	44330.00	139	656
661	-0.67	0.50	0.44	6.63	22.36	44.47	27.31	-1021	44330.00	139	856
662	-0.61	0.67	0.10	299.04	-218.64	44.59	27.31	-1026	44330.00	140	56
663	-0.08	0.68	1.17	28.00	63.43	25.47	27.31	-1026	44330.00	140	256
664	-0.11	0.58	0.65	-119.65	166.11	31.11	27.35	-1029	44330.00	140	456
665	-0.35	0.51	-0.08	152.61	-97.79	57.97	27.31	-1026	44330.00	140	656
666	-0.42	0.64	0.55	222.94	-152.21	45.05	27.21	-1026	44330.00	140	856
667	-0.32	0.61	1.32	21.57	46.05	28.19	27.21	-1026	44330.00	141	56
668	-0.33	0.57	0.77	-42.67	82.00	14.10	27.31	-1029	44330.00	141	256
669	-0.35	0.53	0.60	18.95	25.72	24.59	27.35	-1026	44330.00	141	456
670	-0.43	0.53	0.62	26.24	16.63	18.58	27.26	-1021	44330.00	141	656
671	-0.32	0.57	0.60	37.33	11.45	22.06	27.26	-1021	44330.00	141	856
672	-0.34	0.57	0.63	35.72	28.40	28.06	27.31	-1017	44330.00	142	56
673	-0.36	0.60	0.61	42.88	10.14	27.67	27.31	-1014	44330.00	142	256
674	-0.39	0.56	0.53	51.36	8.73	39.38	27.31	-1017	44330.00	142	456
